iso3,year,energy_per_capita,co2,co2_per_capita,life_expectancy,gdp_per_capita,gini,night_lights,electricity_access_pct,life_exp_female,life_exp_male
TON,2010,4975.566,0.117,1.092,71.3185,5488.7505,,,92.8,75.166,67.881
TON,2015,5327.095,0.106,1.001,71.851,6194.639,0.33521304,,100.0,75.623,68.413
TON,2020,7488.876,0.139,1.317,72.3787,6995.3174,,,99.9,76.077,68.882
TSA,2001,,,,,,,,58.34852132,64.42719612,62.17680706
TSA,2005,,,,,,,,65.85364602,66.5977086,63.77920435
TSA,2010,,,,,,,,74.07657363,69.04180494,65.80043805
TSA,2015,,,,,,,,86.53277846,71.19876368,67.94853757
TSA,2020,,,,,,,,96.40136174,72.19451344,68.68516426
TSS,2001,,,,,,,,26.1606628,53.26504336,50.70516015
TSS,2005,,,,,,,,29.35296297,55.17244939,52.60423193
TSS,2010,,,,,,,,33.33524759,58.62939096,55.57778604
TSS,2015,,,,,,,,39.19965002,61.20922824,57.60271585
TSS,2020,,,,,,,,48.54503895,63.32898464,59.06762251
TTO,2001,95795.609,26.74,20.172,68.8744,20392.883,,,96.3,71.615,66.128
TTO,2005,138485.484,38.205,28.257,70.1847,29574.334,,,95.0,73.223,67.143
TTO,2010,168412.141,47.092,33.961,71.809,35190.215,,,100.0,74.912,68.698
TTO,2015,155082.656,45.534,31.86,72.8817,38951.926,,,100.0,75.903,69.861
TTO,2020,114345.516,35.043,23.661,72.645,30723.404,,,100.0,76.044,69.36
TUN,2001,10003.707,20.261,2.053,72.8219,9380.553,,,97.3,75.281,70.549
TUN,2005,10374.837,22.516,2.196,73.7117,10529.148,0.37733382,,99.2,76.203,71.379
TUN,2010,8215.648,27.9,2.591,74.4376,12458.258,0.38466486,,99.5,76.902,72.095
TUN,2015,9753.919,31.381,2.752,74.8748,12802.761,0.32815883,509232.43083333335,99.9,77.406,72.446
TUN,2020,9381.125,28.845,2.409,75.0035,11955.566,,757969.2283333334,99.9,77.745,72.397
TUR,2001,11841.927,216.872,3.274,72.2711,13718.278,,,99.9,75.689,69.034
TUR,2005,14367.84,267.711,3.861,73.5098,17659.898,0.42614657,,99.7,76.909,70.304
TUR,2010,17085.516,318.71,4.345,74.9642,19564.79,0.3878508,,100.0,78.212,71.903
TUR,2015,19859.248,387.704,4.845,76.5389,25746.432,0.42854458,3529889.481666667,100.0,79.74,73.481
TUR,2020,21161.512,416.328,4.836,76.5255,28378.553,0.4304501,5564035.633333334,100.0,79.887,73.441
TUV,2001,0.0,0.007,0.763,63.709,3705.5923,,,94.8,66.161,61.137
TUV,2005,0.0,0.011,1.103,64.0962,3488.5364,,,95.5,66.763,61.386
TUV,2010,0.0,0.011,1.034,64.834,3506.0603,0.39139032,,96.7,67.787,61.938
TUV,2015,0.0,0.007,0.667,65.3652,4088.7659,,,98.1,68.876,62.148
TUV,2020,0.0,0.011,1.055,66.3567,5154.4595,,,99.4,69.96,63.094
TWN,2001,46945.391,231.431,10.31,76.4775,,,,,,
TWN,2005,52957.633,266.888,11.693,77.133,,0.32179585,,,,
TWN,2010,55741.32,270.718,11.657,79.0363,,0.33213326,,,,
TWN,2015,56650.883,276.264,11.741,79.8786,,,,,,
TWN,2020,54479.328,272.464,11.514,81.1067,,0.31231022,,,,
TZA,2001,428.279,3.041,0.086,54.1243,1899.7454,,,9.7,55.316,52.921
TZA,2005,653.088,5.356,0.137,57.675,2253.0933,,,13.8,59.099,56.228
TZA,2010,742.13,7.194,0.161,61.1266,2654.8035,,,14.8,62.904,59.326
TZA,2015,938.619,12.783,0.246,63.9284,3111.4446,,510378.0741666667,26.2,66.237,61.61
TZA,2020,974.781,15.952,0.262,66.7712,3449.8215,,1217978.9183333332,39.9,69.961,63.667
UGA,2001,299.817,1.417,0.057,50.5761,1516.9642,,,8.6,52.318,48.8
UGA,2005,365.944,2.018,0.072,54.9264,1765.0378,0.42944133,,8.9,56.853,52.929
UGA,2010,514.991,3.57,0.11,59.9593,2244.606,,,12.1,62.081,57.732
UGA,2015,612.357,4.529,0.121,63.8315,2520.02,,145740.66583333333,18.5,66.335,61.206
UGA,2020,613.902,5.571,0.125,66.4098,2678.009,,320803.39999999997,42.1,69.43,63.352
UKR,2001,31826.547,303.876,6.188,67.6754,11379.386,,,99.2,73.52,62.028
UKR,2005,33739.105,313.513,6.588,67.5168,15610.573,0.29020715,,99.9,73.5,61.824
UKR,2010,30715.432,294.366,6.336,70.1883,16811.795,0.24818976,,100.0,75.254,65.021
UKR,2015,21915.717,223.85,4.889,72.6862,15403.71,0.2545754,1112662.6941666666,100.0,77.458,67.651
UKR,2020,20556.229,207.101,4.635,73.2833,17092.54,0.25627363,1611277.5858333334,100.0,78.024,68.348
UMC,2001,,,,,,,,94.84647488,73.8284758,68.51215074
UMC,2005,,,,,,,,95.7242685,75.03807131,69.70429521
UMC,2010,,,,,,,,98.20126832,76.53231934,71.25995084
UMC,2015,,,,,,,,98.99840683,77.95833743,72.519637
UMC,2020,,,,,,,,99.21766388,78.22607887,72.41955552
URY,2001,10399.821,5.041,1.539,74.9865,17986.9,,,97.7,79.124,70.943
URY,2005,10971.153,5.737,1.746,75.8286,18811.32,,,98.0,79.796,71.911
URY,2010,13576.247,6.322,1.905,76.6911,24879.836,0.4447481,,99.3,80.635,72.673
URY,2015,14522.652,6.738,2.001,77.2847,28941.629,0.401286,326033.1925,99.7,81.046,73.381
URY,2020,12850.497,6.477,1.906,78.3811,27788.186,0.40155625,502657.7266666666,100.0,82.015,74.511
USA,2001,91172.07,5903.562,20.767,76.9194,55017.305,0.40594274,,100.0,79.5,74.3
USA,2005,91007.953,6126.903,20.719,77.5264,59604.754,0.41260278,,100.0,80.1,75.0
USA,2010,83435.086,5669.25,18.225,78.6681,59789.414,0.40241358,,100.0,81.0,76.2
